60 63 60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 -9625
63 60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 -13162
60 51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 -15510
51 37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 -16248
37 20 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 -15462
20 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 -13197
0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 -9630
-20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 -4943
-37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 89
-51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 37 5099
-60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 37 19 9678
-63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 37 19 0 13221
-60 -51 -37 -19 0 20 37 51 60 63 60 51 37 19 0 -20 15463
-51 -37 -19 0 20 37 51 60 63 60 51 37 19 0 -20 -37 16247
-37 -19 0 20 37 51 60 63 60 51 37 19 0 -20 -37 -51 15506
-19 0 20 37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 13083
0 20 37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 9433
20 37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 4955
37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -53
51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -4994
60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 -9625
63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 -13162
60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 -15510
51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 -16338
37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 -15462
19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 -13197
0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 -9630
-20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 -4943
-37 -51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 89
-51 -60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 37 5099
-60 -63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 37 19 9678
-63 -60 -51 -37 -19 0 20 37 51 60 63 60 51 37 19 0 13221
-60 -51 -37 -19 0 20 37 51 60 63 60 51 37 19 0 -20 15463
-51 -37 -19 0 20 37 51 60 63 60 51 37 19 0 -20 -37 16247
-37 -19 0 20 37 51 60 63 60 51 37 19 0 -20 -37 -51 15506
-19 0 20 37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 13083
0 20 37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 9433
20 37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 4955
37 51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -53
51 60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -4994
60 63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 -9625
63 60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 -13162
60 51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 -15510
51 37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 38 -16338
37 19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 38 52 -15552
19 0 -20 -37 -51 -60 -63 -60 -51 -37 -19 0 20 38 52 60 -13287
